Time (sec), Heater 1 (%), Temperature 1 (degC)
6.699414372444152832e+01,2.000000000000000000e+01,4.564999999999999858e+01
6.800043320655822754e+01,2.000000000000000000e+01,4.585000000000000142e+01
6.899571490287780762e+01,2.000000000000000000e+01,4.592000000000000171e+01
6.999723935127258301e+01,2.000000000000000000e+01,4.631000000000000227e+01
7.099102830886840820e+01,2.000000000000000000e+01,4.639000000000000057e+01
7.198418998718261719e+01,2.000000000000000000e+01,4.678000000000000114e+01
7.298783421516418457e+01,2.000000000000000000e+01,4.685000000000000142e+01
7.398794412612915039e+01,2.000000000000000000e+01,4.692000000000000171e+01
7.499344778060913086e+01,2.000000000000000000e+01,4.731000000000000227e+01
7.599184203147888184e+01,2.000000000000000000e+01,4.735999999999999943e+01
7.699683141708374023e+01,2.000000000000000000e+01,4.778000000000000114e+01
7.799788403511047363e+01,2.000000000000000000e+01,4.785000000000000142e+01
7.899576115608215332e+01,2.000000000000000000e+01,4.817000000000000171e+01
7.999704766273498535e+01,2.000000000000000000e+01,4.828999999999999915e+01
8.099897813796997070e+01,2.000000000000000000e+01,4.834000000000000341e+01
8.199946355819702148e+01,2.000000000000000000e+01,4.878000000000000114e+01
8.300031542778015137e+01,2.000000000000000000e+01,4.882999999999999829e+01
8.400251102447509766e+01,2.000000000000000000e+01,4.924000000000000199e+01
8.499718523025512695e+01,2.000000000000000000e+01,4.932000000000000028e+01
8.599881076812744141e+01,2.000000000000000000e+01,4.939000000000000057e+01
8.700267910957336426e+01,2.000000000000000000e+01,4.972999999999999687e+01
8.800195384025573730e+01,2.000000000000000000e+01,4.979999999999999716e+01
8.900484061241149902e+01,2.000000000000000000e+01,5.021999999999999886e+01
9.000394773483276367e+01,2.000000000000000000e+01,5.028999999999999915e+01
9.100582885742187500e+01,2.000000000000000000e+01,5.063000000000000256e+01
9.200526022911071777e+01,2.000000000000000000e+01,5.071000000000000085e+01
9.300938248634338379e+01,2.000000000000000000e+01,5.078000000000000114e+01
9.400914764404296875e+01,2.000000000000000000e+01,5.121999999999999886e+01
9.500977802276611328e+01,2.000000000000000000e+01,5.127000000000000313e+01
9.601266527175903320e+01,2.000000000000000000e+01,5.160999999999999943e+01
9.701511979103088379e+01,2.000000000000000000e+01,5.172999999999999687e+01
9.801659727096557617e+01,2.000000000000000000e+01,5.181000000000000227e+01
9.901685047149658203e+01,2.000000000000000000e+01,5.214999999999999858e+01
1.000196404457092285e+02,2.000000000000000000e+01,5.225000000000000000e+01
1.010188298225402832e+02,2.000000000000000000e+01,5.249000000000000199e+01
1.020185606479644775e+02,2.000000000000000000e+01,5.265999999999999659e+01
1.030215804576873779e+02,2.000000000000000000e+01,5.272999999999999687e+01
1.040211255550384521e+02,2.000000000000000000e+01,5.307999999999999829e+01
1.050234730243682861e+02,2.000000000000000000e+01,5.321999999999999886e+01
1.060274477005004883e+02,2.000000000000000000e+01,5.329999999999999716e+01
1.070314984321594238e+02,2.000000000000000000e+01,5.364000000000000057e+01
1.080376505851745605e+02,2.000000000000000000e+01,5.371000000000000085e+01
