Time (sec),  Heater (%),  Temperature (C)
0.000000000000000000e+00,0.000000000000000000e+00,2.410999999999999943e+01
1.004111528396606445e+00,0.000000000000000000e+00,2.414000000000000057e+01
2.009485960006713867e+00,0.000000000000000000e+00,2.412000000000000099e+01
3.001231908798217773e+00,0.000000000000000000e+00,2.414000000000000057e+01
4.005305290222167969e+00,0.000000000000000000e+00,2.412999999999999901e+01
5.009613752365112305e+00,0.000000000000000000e+00,2.414999999999999858e+01
6.010321855545043945e+00,0.000000000000000000e+00,2.414999999999999858e+01
7.012266159057617188e+00,0.000000000000000000e+00,2.414999999999999858e+01
8.017872571945190430e+00,0.000000000000000000e+00,2.414999999999999858e+01
9.020530223846435547e+00,0.000000000000000000e+00,2.414999999999999858e+01
1.002455711364746094e+01,0.000000000000000000e+00,2.414999999999999858e+01
1.102594065666198730e+01,0.000000000000000000e+00,2.414999999999999858e+01
1.203124666213989258e+01,0.000000000000000000e+00,2.414999999999999858e+01
1.303589701652526855e+01,0.000000000000000000e+00,2.414999999999999858e+01
1.402619099617004395e+01,0.000000000000000000e+00,2.414999999999999858e+01
1.502654719352722168e+01,0.000000000000000000e+00,2.414999999999999858e+01
1.602624082565307617e+01,0.000000000000000000e+00,2.414999999999999858e+01
1.702890205383300781e+01,0.000000000000000000e+00,2.414999999999999858e+01
1.803444910049438477e+01,0.000000000000000000e+00,2.414999999999999858e+01
1.903669071197509766e+01,0.000000000000000000e+00,2.414999999999999858e+01
2.004190707206726074e+01,0.000000000000000000e+00,2.414999999999999858e+01
2.103697323799133301e+01,0.000000000000000000e+00,2.414999999999999858e+01
2.203167724609375000e+01,0.000000000000000000e+00,2.414999999999999858e+01
2.302423477172851562e+01,0.000000000000000000e+00,2.414999999999999858e+01
2.402821850776672363e+01,0.000000000000000000e+00,2.414999999999999858e+01
2.503299975395202637e+01,0.000000000000000000e+00,2.414999999999999858e+01
2.602436614036560059e+01,0.000000000000000000e+00,2.414999999999999858e+01
2.701532626152038574e+01,0.000000000000000000e+00,2.414999999999999858e+01
2.801838493347167969e+01,0.000000000000000000e+00,2.414999999999999858e+01
2.902322554588317871e+01,0.000000000000000000e+00,2.414999999999999858e+01
3.002609539031982422e+01,0.000000000000000000e+00,2.414999999999999858e+01
3.102861976623535156e+01,1.500000000000000000e+01,2.414999999999999858e+01
3.203464317321777344e+01,1.500000000000000000e+01,2.414000000000000057e+01
3.302649497985839844e+01,1.500000000000000000e+01,2.417000000000000171e+01
3.403218078613281250e+01,1.500000000000000000e+01,2.423999999999999844e+01
3.502344608306884766e+01,1.500000000000000000e+01,2.441000000000000014e+01
3.602768325805664062e+01,1.500000000000000000e+01,2.442999999999999972e+01
3.702967977523803711e+01,1.500000000000000000e+01,2.442999999999999972e+01
3.802215123176574707e+01,1.500000000000000000e+01,2.444000000000000128e+01
3.902502918243408203e+01,1.500000000000000000e+01,2.455000000000000071e+01
4.002799820899963379e+01,1.500000000000000000e+01,2.475000000000000000e+01
4.102848196029663086e+01,1.500000000000000000e+01,2.475000000000000000e+01
4.203136634826660156e+01,1.500000000000000000e+01,2.475000000000000000e+01
4.303112220764160156e+01,1.500000000000000000e+01,2.496000000000000085e+01
4.402662897109985352e+01,1.500000000000000000e+01,2.507999999999999829e+01
4.502280497550964355e+01,1.500000000000000000e+01,2.507999999999999829e+01
4.602407932281494141e+01,1.500000000000000000e+01,2.516000000000000014e+01
4.702375483512878418e+01,1.500000000000000000e+01,2.539000000000000057e+01
4.802409172058105469e+01,1.500000000000000000e+01,2.541000000000000014e+01
4.902418947219848633e+01,1.500000000000000000e+01,2.542000000000000171e+01
5.002584362030029297e+01,1.500000000000000000e+01,2.571000000000000085e+01
5.103138232231140137e+01,1.500000000000000000e+01,2.571999999999999886e+01
5.202872705459594727e+01,1.500000000000000000e+01,2.573000000000000043e+01
5.302800893783569336e+01,1.500000000000000000e+01,2.596999999999999886e+01
5.402760696411132812e+01,1.500000000000000000e+01,2.603999999999999915e+01
5.501939916610717773e+01,1.500000000000000000e+01,2.605999999999999872e+01
5.602391743659973145e+01,1.500000000000000000e+01,2.630999999999999872e+01
5.702640271186828613e+01,1.500000000000000000e+01,2.635999999999999943e+01
5.802706837654113770e+01,1.500000000000000000e+01,2.637000000000000099e+01
5.903195619583129883e+01,1.500000000000000000e+01,2.658999999999999986e+01
6.003514313697814941e+01,1.500000000000000000e+01,2.669000000000000128e+01
6.104004049301147461e+01,1.500000000000000000e+01,2.667999999999999972e+01
6.204383897781372070e+01,1.500000000000000000e+01,2.687999999999999901e+01
6.304830312728881836e+01,1.500000000000000000e+01,2.701999999999999957e+01
6.622213387489318848e+01,1.500000000000000000e+01,2.733999999999999986e+01
6.721760535240173340e+01,1.500000000000000000e+01,2.733999999999999986e+01
6.821938824653625488e+01,1.500000000000000000e+01,2.751999999999999957e+01
6.922472953796386719e+01,1.500000000000000000e+01,2.766000000000000014e+01
7.022907662391662598e+01,1.500000000000000000e+01,2.766000000000000014e+01
7.121979975700378418e+01,1.500000000000000000e+01,2.780999999999999872e+01
7.222205305099487305e+01,1.500000000000000000e+01,2.798000000000000043e+01
7.322729468345642090e+01,1.500000000000000000e+01,2.798000000000000043e+01
7.422993087768554688e+01,1.500000000000000000e+01,2.805999999999999872e+01
7.523475885391235352e+01,1.500000000000000000e+01,2.828000000000000114e+01
7.623888254165649414e+01,1.500000000000000000e+01,2.828999999999999915e+01
7.722929787635803223e+01,1.500000000000000000e+01,2.830999999999999872e+01
7.822025966644287109e+01,1.500000000000000000e+01,2.860999999999999943e+01
7.921283102035522461e+01,1.500000000000000000e+01,2.862000000000000099e+01
8.021551990509033203e+01,1.500000000000000000e+01,2.862000000000000099e+01
8.122119212150573730e+01,1.500000000000000000e+01,2.878999999999999915e+01
8.222288084030151367e+01,1.500000000000000000e+01,2.894000000000000128e+01
8.321455478668212891e+01,1.500000000000000000e+01,2.894999999999999929e+01
8.421774196624755859e+01,1.500000000000000000e+01,2.903000000000000114e+01
8.520929932594299316e+01,1.500000000000000000e+01,2.925000000000000000e+01
8.621524429321289062e+01,1.500000000000000000e+01,2.926999999999999957e+01
8.720709013938903809e+01,1.500000000000000000e+01,2.926999999999999957e+01
8.819967532157897949e+01,1.500000000000000000e+01,2.937999999999999901e+01
8.919887924194335938e+01,1.500000000000000000e+01,2.958999999999999986e+01
9.020499253273010254e+01,1.500000000000000000e+01,2.957999999999999829e+01
9.120966386795043945e+01,1.500000000000000000e+01,2.957999999999999829e+01
9.221544480323791504e+01,1.500000000000000000e+01,2.967000000000000171e+01
9.321721649169921875e+01,1.500000000000000000e+01,2.989999999999999858e+01
9.421962690353393555e+01,1.500000000000000000e+01,2.989999999999999858e+01
9.521435952186584473e+01,1.500000000000000000e+01,2.992000000000000171e+01
9.621375346183776855e+01,1.500000000000000000e+01,3.017000000000000171e+01
9.721957826614379883e+01,1.500000000000000000e+01,3.023000000000000043e+01
9.821107482910156250e+01,1.500000000000000000e+01,3.023000000000000043e+01
9.921479940414428711e+01,1.500000000000000000e+01,3.025000000000000000e+01
1.002183136940002441e+02,1.500000000000000000e+01,3.035999999999999943e+01
1.012240941524505615e+02,1.500000000000000000e+01,3.055000000000000071e+01
1.022155194282531738e+02,1.500000000000000000e+01,3.055000000000000071e+01
1.032077872753143311e+02,1.500000000000000000e+01,3.055999999999999872e+01
1.042140877246856689e+02,1.500000000000000000e+01,3.055000000000000071e+01
1.052201178073883057e+02,1.500000000000000000e+01,3.057000000000000028e+01
1.062203886508941650e+02,1.500000000000000000e+01,3.078999999999999915e+01
1.072253143787384033e+02,1.500000000000000000e+01,3.087000000000000099e+01
1.082299463748931885e+02,1.500000000000000000e+01,3.087000000000000099e+01
1.092340021133422852e+02,1.500000000000000000e+01,3.087999999999999901e+01
1.102389714717864990e+02,1.500000000000000000e+01,3.101999999999999957e+01
1.112292745113372803e+02,1.500000000000000000e+01,3.119999999999999929e+01
1.122206137180328369e+02,1.500000000000000000e+01,3.119000000000000128e+01
1.132112843990325928e+02,1.500000000000000000e+01,3.121000000000000085e+01
1.142145047187805176e+02,1.500000000000000000e+01,3.148999999999999844e+01
1.152187170982360840e+02,1.500000000000000000e+01,3.151999999999999957e+01
1.162199857234954834e+02,1.500000000000000000e+01,3.151000000000000156e+01
1.172251899242401123e+02,1.500000000000000000e+01,3.151000000000000156e+01
1.182309472560882568e+02,1.500000000000000000e+01,3.175000000000000000e+01
1.192358546257019043e+02,1.500000000000000000e+01,3.183999999999999986e+01
