Time (sec),  Heater (%),  Temperature (C)
6.488337516784667969e+01,4.000000000000000000e+01,5.797999999999999687e+01
6.588047218322753906e+01,4.000000000000000000e+01,5.845000000000000284e+01
6.687488961219787598e+01,4.000000000000000000e+01,5.853999999999999915e+01
6.786908698081970215e+01,4.000000000000000000e+01,5.893999999999999773e+01
6.886485552787780762e+01,4.000000000000000000e+01,5.915999999999999659e+01
6.985937190055847168e+01,4.000000000000000000e+01,5.938000000000000256e+01
7.085792422294616699e+01,4.000000000000000000e+01,5.971999999999999886e+01
7.185371494293212891e+01,4.000000000000000000e+01,5.996000000000000085e+01
7.284514832496643066e+01,4.000000000000000000e+01,6.039999999999999858e+01
7.384262895584106445e+01,4.000000000000000000e+01,6.090999999999999659e+01
7.483884429931640625e+01,4.000000000000000000e+01,6.132999999999999829e+01
7.583653092384338379e+01,4.000000000000000000e+01,6.186999999999999744e+01
7.683019614219665527e+01,4.000000000000000000e+01,6.178999999999999915e+01
7.782436966896057129e+01,4.000000000000000000e+01,6.238000000000000256e+01
7.882539272308349609e+01,4.000000000000000000e+01,6.264999999999999858e+01
7.982098126411437988e+01,4.000000000000000000e+01,6.286999999999999744e+01
8.081650829315185547e+01,4.000000000000000000e+01,6.325999999999999801e+01
8.180915307998657227e+01,4.000000000000000000e+01,6.357000000000000028e+01
8.280793857574462891e+01,4.000000000000000000e+01,6.384000000000000341e+01
8.381253981590270996e+01,4.000000000000000000e+01,6.423000000000000398e+01
8.481363058090209961e+01,4.000000000000000000e+01,6.479000000000000625e+01
8.580828022956848145e+01,4.000000000000000000e+01,6.526000000000000512e+01
8.681133985519409180e+01,4.000000000000000000e+01,6.559999999999999432e+01
8.780490875244140625e+01,4.000000000000000000e+01,6.579999999999999716e+01
8.879662156105041504e+01,4.000000000000000000e+01,6.628000000000000114e+01
8.979265189170837402e+01,4.000000000000000000e+01,6.676999999999999602e+01
9.078875160217285156e+01,4.000000000000000000e+01,6.715999999999999659e+01
9.178115367889404297e+01,4.000000000000000000e+01,6.771999999999999886e+01
9.277604627609252930e+01,4.000000000000000000e+01,6.806999999999999318e+01
9.377355384826660156e+01,4.000000000000000000e+01,6.823999999999999488e+01
9.476975798606872559e+01,4.000000000000000000e+01,6.862999999999999545e+01
9.576695084571838379e+01,4.000000000000000000e+01,6.912000000000000455e+01
9.676390266418457031e+01,4.000000000000000000e+01,6.948000000000000398e+01
9.775979661941528320e+01,4.000000000000000000e+01,6.965000000000000568e+01
9.875466871261596680e+01,4.000000000000000000e+01,7.018999999999999773e+01
9.975539135932922363e+01,4.000000000000000000e+01,7.068000000000000682e+01
1.007512812614440918e+02,4.000000000000000000e+01,7.073000000000000398e+01
1.017516105175018311e+02,4.000000000000000000e+01,7.114000000000000057e+01
1.027496509552001953e+02,4.000000000000000000e+01,7.114000000000000057e+01
1.037461717128753662e+02,4.000000000000000000e+01,7.156000000000000227e+01
1.047426941394805908e+02,4.000000000000000000e+01,7.187999999999999545e+01
1.057371206283569336e+02,4.000000000000000000e+01,7.212000000000000455e+01
1.067338862419128418e+02,4.000000000000000000e+01,7.262999999999999545e+01
1.077261974811553955e+02,4.000000000000000000e+01,7.304999999999999716e+01
1.087188785076141357e+02,4.000000000000000000e+01,7.356000000000000227e+01
1.097142903804779053e+02,4.000000000000000000e+01,7.382999999999999829e+01
1.107154486179351807e+02,4.000000000000000000e+01,7.417000000000000171e+01
1.117068638801574707e+02,4.000000000000000000e+01,7.451000000000000512e+01
1.127083361148834229e+02,4.000000000000000000e+01,7.500000000000000000e+01
1.137049746513366699e+02,4.000000000000000000e+01,7.556000000000000227e+01
1.147025699615478516e+02,4.000000000000000000e+01,7.595000000000000284e+01
1.156965301036834717e+02,4.000000000000000000e+01,7.603000000000000114e+01
1.166918592453002930e+02,4.000000000000000000e+01,7.654000000000000625e+01
1.176876769065856934e+02,4.000000000000000000e+01,7.645999999999999375e+01
1.186858735084533691e+02,4.000000000000000000e+01,7.651000000000000512e+01
1.196829674243927002e+02,4.000000000000000000e+01,7.703000000000000114e+01
1.206763236522674561e+02,4.000000000000000000e+01,7.695000000000000284e+01
1.216688492298126221e+02,4.000000000000000000e+01,7.746999999999999886e+01
1.226651117801666260e+02,4.000000000000000000e+01,7.798000000000000398e+01
1.236605727672576904e+02,4.000000000000000000e+01,7.803000000000000114e+01
1.246536364555358887e+02,4.000000000000000000e+01,7.848999999999999488e+01
1.256511363983154297e+02,4.000000000000000000e+01,7.887999999999999545e+01
